CustomerID;Coverage;Education;EmploymentStatus;Gender;Income;Location.Geo;Location.Code;Zone;Marital.Status;Monthly.Premium.Auto;Months.Since.Last.Claim;Months.Since.Policy.Inception;Number.of.Open.Complaints;Number.of.Policies;Policy.Type;Policy;Renew.Offer.Type;Sales.Channel;Total.Claim.Amount;Vehicle.Class;Vehicle.Size;Group.Clustering;Ratio.Clv.Prime_Tot;Clv
17;Basic;Bachelor;Employed;M;43836;12,6;79,4;Rural;Single;73;12;44;0;1;Personal Auto;Personal L1;Offer1;Agent;138,130879;Four-Door Car;Medsize;Group.1;0,956995368;3073,869121
19;Extended;College;Employed;F;28812;17,3;78,4;Urban;Married;93;17;7;0;8;Special Auto;Special L2;Offer2;Branch;425,527834;Four-Door Car;Medsize;Group.1;0,346347413;225,472166
29;Premium;Master;Employed;M;77026;18,4;73,5;Urban;Married;110;9;82;2;3;Corporate Auto;Corporate L1;Offer2;Agent;472,029737;Four-Door Car;Medsize;Group.1;0,947668544;8547,970263
34;Basic;Bachelor;Employed;F;24599;17,1;78,2;Rural;Married;64;12;50;1;2;Corporate Auto;Corporate L2;Offer2;Branch;42,920271;Four-Door Car;Medsize;Group.1;0,986587415;3157,079729
37;Extended;Bachelor;Disabled;F;13789;13;80,1;Suburban;Divorced;79;8;49;0;1;Personal Auto;Personal L3;Offer4;Call Center;379,2;Four-Door Car;Medsize;Group.1;0,902040816;3491,8
44;Basic;Bachelor;Medical Leave;M;14072;28,4;77,3;Suburban;Divorced;71;13;3;0;2;Personal Auto;Personal L3;Offer1;Agent;511,2;Four-Door Car;Medsize;Group.1;-1,4;-298,2
48;Basic;College;Employed;M;97541;17,5;79;Suburban;Married;72;22;1;0;3;Personal Auto;Personal L3;Offer2;Call Center;389,185006;Four-Door Car;Large;Group.1;-4,405347306;-317,185006
49;Premium;Bachelor;Unemployed;F;44606,39071;19,9;73,8;Suburban;Single;111;15;47;0;1;Personal Auto;Personal L3;Offer1;Agent;799,2;Four-Door Car;Small;Group.1;0,846808511;4417,8
54;Extended;High School or Below;Employed;M;65999;22,3;87,9;Urban;Married;237;1;14;0;6;Corporate Auto;Corporate L2;Offer2;Agent;615,927769;Luxury SUV;Medsize;Group.1;0,814367761;2702,072231
65;Basic;Bachelor;Employed;F;37260;17,6;77,5;Rural;Married;62;19;42;0;8;Corporate Auto;Corporate L1;Offer3;Web;15,437681;Four-Door Car;Medsize;Group.1;0,994071551;2588,562319
77;Basic;High School or Below;Employed;F;23218;17;78,2;Suburban;Single;71;7;10;0;4;Personal Auto;Personal L2;Offer4;Agent;447,79344;Two-Door Car;Medsize;Group.1;0,369305014;262,20656
80;Extended;Bachelor;Unemployed;F;0;18,7;71,5;Suburban;Married;92;11;77;0;1;Corporate Auto;Corporate L2;Offer2;Call Center;529,624084;Four-Door Car;Medsize;Group.1;0,925236578;6554,375916
94;Basic;High School or Below;Employed;F;36014;22,7;87,2;Rural;Married;69;4;40;3;2;Special Auto;Special L1;Offer4;Branch;173,956072;Four-Door Car;Medsize;Group.1;0,936972438;2586,043928
95;Basic;High School or Below;Unemployed;F;0;28,3;79,1;Suburban;Married;101;29;12;0;1;Personal Auto;Personal L2;Offer1;Call Center;484,8;SUV;Small;Group.1;0,6;727,2
107;Premium;Master;Disabled;F;11621;17,4;77,5;Suburban;Divorced;108;4;98;0;1;Personal Auto;Personal L1;Offer1;Agent;518,4;Four-Door Car;Medsize;Group.1;0,951020408;10065,6
